email,pwd,abbrName,accountSection,accountId,accountName,systemRole,orgSection,orgId,orgName,teamSection,teamId,teamName,role,projectSection,projectId,projectName,flagsSection,testCloudLambdaTestEnvironment,testCloudMobileNativeAppEnabled,additionalAttrSection,numberOfParallels,forTestCases
qeautomationkatalon@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1939127,Katalon - Quality Engineering,,***,345643,Katalon on Katalon,***,262588,Quality Team,Owner,***,375003,Quality Engineers,***,FALSE,FALSE,***,,
qeautomationkatalon+1@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1939127,Katalon - Quality Engineering,,***,345643,Katalon on Katalon,***,262588,Quality Team,Admin,***,375003,Quality Engineers,***,FALSE,FALSE,***,,
qeautomationkatalon+2@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1939127,Katalon - Quality Engineering,,***,345643,Katalon on Katalon,***,262588,Quality Team,User,***,375003,Quality Engineers,***,FALSE,FALSE,***,,
qeautomationkatalon@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1939127,Katalon - Quality Engineering,,***,345643,Katalon on Katalon,,262587,Turing & Gryffindor,Owner,,375002,Platform General,***,FALSE,FALSE,***,,
qeautomationkatalon+1@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1939127,Katalon - Quality Engineering,,***,345643,Katalon on Katalon,,262587,Turing & Gryffindor,Admin,,375002,Platform General,***,FALSE,FALSE,***,,
qeautomationkatalon+2@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1939127,Katalon - Quality Engineering,,***,345643,Katalon on Katalon,,262587,Turing & Gryffindor,User,,375002,Platform General,***,FALSE,FALSE,***,,
qeautomationkatalon@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1940893,KOK Org w. testCloudLambdaTestEnvironment ON,,***,347221,KOK 2,***,264173,Cloudian,Owner,***,377684,Cloud-based Test Execution,***,TRUE,TRUE,***,,
qeautomationkatalon+1@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1940893,KOK Org w. testCloudLambdaTestEnvironment ON,,***,347221,KOK 2,***,264173,Cloudian,Admin,***,377684,Cloud-based Test Execution,***,TRUE,TRUE,***,,
qeautomationkatalon+2@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1940893,KOK Org w. testCloudLambdaTestEnvironment ON,,***,347221,KOK 2,***,264173,Cloudian,User,***,377684,Cloud-based Test Execution,***,TRUE,TRUE,***,,
qeautomationkatalon@gmail.com,VlZUbm6O36rsHucXakihkpTG4Gq0o9QN,QA,***,1940920,KOK 3,,***,347246,KOK 3,***,264198,KOK 3,Owner,***,377733,KOK 3,***,,,***,1,AC-ST044472
